Year,VNM,THA,MYS,SGP,CHN
2015,3.1023588139245226,2.126053932882678,3.1021434543580515,6.933172049925278,41.206165194170886
2016,2.5187206790642898,1.6393643556327646,3.2741931431894544,6.649151401944904,47.30201733022666
2017,2.4274671020524297,1.3893446670395233,2.6262698170326138,5.019903021626755,43.03069264089599
2018,5.984568237120789,1.6349112357978053,1.683758762478857,5.704745536712851,40.549311399526694
2019,6.890862829655878,1.571079349147066,1.530996424460579,5.632363396563938,38.538451719540504
2020,6.349431011101051,1.0815542188065328,1.6438764958459207,5.279620605039965,42.13406942973825
2021,4.60574492197678,1.0835648119933905,1.933165484574777,4.8683654636251,43.74940990717269
2022,4.511726092503816,1.2421312130234492,2.014852334492611,4.707648987770653,44.63631336826031
2023,4.626096834159232,1.375422632372641,2.2442994229457716,4.973910410740193,44.17844059504285
